Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Sze Man Bok,2.3,China,hygiene products,1362,71,"Jinjiang, China",China,Married,1,,TRUE
Katsumi Tada,2.3,Japan,real estate,1362,75,"Tokyo, Japan",Japan,Married,3,,TRUE
Ted Turner,2.3,United States,cable television,1362,82,"Atlanta, Georgia",United States,Divorced,5,"Bachelor of Arts/Science, Brown University",FALSE
Jitendra Virwani,2.3,India,real estate,1362,55,"Bangalore, India",India,Married,4,"Bachelor of Commerce, Bangalore University",FALSE
Arkady Volozh,2.3,Russia,search engine,1362,57,"Moscow, Russia",Russia,Married,3,"Master of Science, Gubkin Russian State University of Oil and Gas",TRUE
Lang Walker,2.3,Australia,real estate,1362,75,"Sydney, Australia",Australia,Married,3,"Diploma, High School",TRUE
Wei Ying-Chiao,2.3,Taiwan,"food, beverages",1362,66,"Taipei, Taiwan",Taiwan,Married,5,,TRUE
Wu Zhongyi,2.3,China,electronics,1362,47,"Xiamen, China",China,,,"Bachelor of Arts/Science, Shenzhen University",TRUE
Elaine Wynn,2.3,United States,"casinos, hotels",1362,79,"Las Vegas, Nevada",United States,Divorced,2,"Bachelor of Arts/Science, George Washington University",TRUE
Xu Chuanhua & family,2.3,China,"chemicals, logistics",1362,86,"Hangzhou, China",China,Married,2,,TRUE
Jerry Yang,2.3,United States,Yahoo,1362,52,"Los Altos Hills, California",United States,Married,2,"Bachelor of Arts/Science, Stanford University; Master of Science, Stanford University",TRUE
Yang Weidong & family,2.3,China,chemicals,1362,52,"Jiaxing, China",China,Married,,,TRUE
Barry Zekelman,2.3,Canada,steel,1362,54,"Windsor, Canada",Canada,,,"Drop Out, York University",FALSE
Zhang Xuezheng,2.3,China,telecom,1362,45,"Jiaxing, China",China,,,,TRUE
Zhang Yin,2.3,China,paper manufacturing,1362,64,"Dongguan, China",China,Married,2,,TRUE
Kostyantin Zhevago,2.3,Ukraine,mining,1362,47,"Kiev, Ukraine",Ukraine,Married,2,"Bachelor of Arts/Science, Kiev State Economic University",TRUE
Jose Joao Abdalla Filho,2.2,Brazil,investments,1444,75,"Rio de Janeiro, Brazil",Brazil,,,,FALSE
Abdulla Al Futtaim & family,2.2,United Arab Emirates,"auto dealers, investments",1444,,"Dubai, United Arab Emirates",United Arab Emirates,Married,,,FALSE
Ramon Ang,2.2,Philippines,Diversified,1444,67,"Manila, Philippines",Philippines,Married,8,"Bachelor of Engineering, Far Eastern University",TRUE
Bill Austin,2.2,United States,hearing aids,1444,79,"Brownsville, Texas",United States,Married,,"High School Graduate, High School",TRUE
Acharya Balkrishna,2.2,India,consumer goods,1444,48,"Haridwar, India",India,Single,,,TRUE
Richard Barton,2.2,United States,Zillow,1444,53,"Seattle, Washington",United States,Married,3,"Bachelor of Science, Stanford University",TRUE
Edward Bass,2.2,United States,"oil, investments",1444,75,"Fort Worth, Texas",United States,Married,1,"Bachelor of Arts/Science, Yale University",FALSE
Thor Bjorgolfsson,2.2,Iceland,investments,1444,54,"London, United Kingdom",Iceland,Married,3,"Bachelor of Arts/Science, New York University",TRUE
Nikolai Buinov,2.2,Russia,"oil, gas",1444,53,"Irkutsk, Russia",Russia,Married,2,,TRUE
Bruce Cheng,2.2,Taiwan,electronics,1444,85,"Taipei, Taiwan",Taiwan,Married,2,"Bachelor of Arts/Science, National Cheng Kung University",TRUE
Chin Jong Hwa,2.2,Taiwan,auto parts,1444,62,"Taoyuan, Taiwan",Taiwan,Married,2,"Diploma, China University of Technology",TRUE
Jai Hari & Yadu Hari Dalmia & family,2.2,India,cement,1444,,"Delhi, India",India,Married,,,FALSE
Dermot Desmond,2.2,Ireland,finance,1444,70,"Dublin, Ireland",Ireland,Married,4,,TRUE
K. Dinesh,2.2,India,software services,1444,66,"Bangalore, India",India,Married,2,"Master of Science, Bangalore University",TRUE
"Frank Fertitta, III.",2.2,United States,"casinos, mixed martial arts",1444,59,"Las Vegas, Nevada",United States,Married,3,"Bachelor of Arts/Science, University of Southern California",FALSE
Lorenzo Fertitta,2.2,United States,"casinos, mixed martial arts",1444,52,"Las Vegas, Nevada",United States,Married,3,"Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, U of San Diego",FALSE
Maria Franca Fissolo,2.2,Italy,"Nutella, chocolates",1444,86,"Monaco, Monaco",Italy,Widowed,2,,FALSE
Serge Godin,2.2,Canada,information technology,1444,71,"Westmount, Canada",Canada,Married,2,"Master of Business Administration, Laval University",TRUE
